Latitude,Longitude,Country,City,Population
FLOAT,FLOAT,TEXT,TEXT,INT
-23.383333,-49.5,br,fartura,12405
50.15,8.95,de,erlensee,12407
48.633333,10.033333,de,gerstetten,12407
-2.983333,-41.083333,br,barroquinha,12410
-16.684444,-44.360278,br,coracao de jesus,12410
48.033333,11.6,de,oberhaching,12416
43.337651,-6.414516,es,tineo,12416
4.212073,-76.155638,co,bugalagrande,12418
48.876492,2.639816,fr,vaires-sur-marne,12418
42.111554,-8.74971,es,gondomar,12419
-23.133333,-46.466667,br,bom jesus dos perdoes,12422
-10.3,-36.583333,br,neopolis,12422
50.416667,10.75,de,hildburghausen,12422
50.633333,12.8,de,zwonitz,12424
-7.366667,-46.616667,br,riachao,12428
-21.55,-46.633333,br,caconde,12434
48.266667,10.983333,de,mering,12437
51.016667,7.766667,de,drolshagen,12438
49.591667,8.646389,de,hemsbach,12442
38.561445,-6.338095,es,villafranca de los barros,12442
8.15,39.35,et,huruta,12442
-9.476667,-48.480278,br,miranorte,12446
51.7,7.4,de,olfen,12450
-18.866667,-48.866667,br,monte alegre de minas,12451
49.329979,17.577216,cz,holesov,12455
46.619499,7.056743,ch,bulle,12460
-5.53,-37.303056,br,caraubas,12462
55.75,-97.866667,ca,thompson,12467
50.761503,3.010633,fr,comines,12467
48.05,11.966667,de,grafing,12469
49.583333,10.6,de,neustadt,12470
48.65,13.633333,de,hauzenberg,12471
49.772259,17.122268,cz,unicov,12474
-19.833333,-42.316667,br,bom jesus do galho,12476
-18.683333,-49.583333,br,capinopolis,12486
-14.3,-39,br,itacare,12490
-41.768011,-73.127296,cl,calbuco,12490
47.482779,7.742975,ch,liestal,12491
50.266667,9.3,de,wachtersbach,12497
48.934052,2.435838,fr,le bourget,12503
22.7280556,-80.7213889,cu,los arabos,12504
51.283333,7.783333,de,neuenrade,12505
-3.6833333,-79.6166667,ec,zaruma,12505
50.916667,12.816667,de,burgstadt,12506
49.5125,11.433889,de,hersbruck,12506
47.333333,11.7,at,schwaz,12507
-21.833333,-45.4,br,campanha,12507
46.383333,-82.65,ca,elliot lake,12508
-20.966667,-42.033333,br,porciuncula,12511
52.95,8.016667,de,garrel,12515
48.25,10.366667,de,krumbach,12518
50.433333,7.833333,de,montabaur,12518
-9.416667,-36.066667,br,capela,12520
-2.1833333,-80,ec,santa lucia,12523
34.173553,69.645728,af,azrow,12526
47.792586,7.334908,fr,kingersheim,12528
-6.3,-35.45,br,santo antonio,12529
